№ рейса;Маршрут прямуваня;час відправлення з автостанції;час прибуття в кінцевий пункт;Дні виконання;№ платформи;Перевізник;Марка автобуса;Напрямок
406;Скадовськ - Харків;02-35;04-35;щодня сезонні;5;"ПП ""Ікарус-Авто""";Ікарус 250;харківський
4;Кирилівка - Харків;02-55;04-55;щодня сезонні;5;ПП Возруд;Ікарус 256;харківський
217;Енергодар - Харків;03-05;05-05;ч\з день;5;"АТ ""Герць""";Scania, Ікарус, Богдан ;харківський
794;Севастополь - Харків;03-20;05-15;ч/з день сезонні;5;"ТОВ ""Ахтіар""";Ікарус 256;харківський
22;Каховка - Харків;03-40;05-40;щодня;5;"ВАТ ""Каховське АТП 16506"", ПП ""Ікарус-Авто""";Ікарус 255;харківський
436;Миколаїв - Харків;04-00;06-00;щодня;5;ПП Загороднюк, ПП Возруд;Ікарус 250,256;харківський
128;Бердянськ - Харків;04-35;06-35;щодня сезонні;5;ПП Дунаєв;Ікарус 250;харківський
152;Херсон - Харків;05-20;07-20;щодня;5;"ТОВ ""Інтерсоллі Плюс"", ВАТ ""АТП 16527""";Ікарус 250,256;харківський
272;Судак - Харків ;05-20;07-20;ч\з день сезонні;5;ПП Калуженов;Вольво, Сканія, МАН;харківський
785;Сахновщина - Харків;05-46;07-46;крім неділі;5;ПП Мотузка;ЛАЗ 699Р;харківський
1548;Красноград - Харків ;05-35;07-45;щодня;5;ПП Джамалов;Мерседес;харківський
789;Одеса - Харків;05-50;07-35;щодня;5;"ТОВ ""Престиж Авто"" ТОВ ""Люкс-темпо""";Неоплан, Мерседес, МАН;харківський
966;Зачепилівка - Харків;06-00;08-33;щодня;5;ПП Боровий ;Еталон, Ікарус ;харківський
787;Сахновщина - Харків;06-06;08-06;понеділок, вівторок п'ятниця;5;ПП Мотузка;ЛАЗ 699Р;харківський
432;Арабатська Стрілка - Харків;06-10;08-05;щодня сезонні;5;"ПП ""Ікарус-Авто"", ВАТ ""Н-Троїцьке АТП 16541""";Ікарус 250,256, Бора, БАЗ 079;харківський
1350;Новоселівка - Харків;06-20;08-10;щодня;5;ПП Джамалов;Газель, Рута;харківський
827;Миколаїв - Харків;06-20;07-55;щодня;5;ПП Товстяк ПП Савченко;Мерседес, ДАФ, Сетра;харківський
746;Красноград - Харків;06-45;09-05;щодня;5;ПП Джамалов;Мерседес 313, Еталон;харківський
351;Карлівка - Харків;06-56;09-00;щодня;5;"ДП ""Фаркоп""";ЛАЗ 699, ПАЗ 4230;харківський
881;Сахновщина - Харків;07-30;09-35;крім середи;5;"ТОВ ""Українаавтосервіс""";ЛАЗ 4202, Рута;харківський
60;Ялта - Харків;07-25;09-25;щодня (сезонний);5;"ТОВ ""Люкс-темпо"", ПП Булгадарян";Мерседес, Неоплан, БАЗ А079;харківський
881;Сахновщина - Харків (АС-2);07-30;09-35;крім середи;5;"ТОВ ""Українаавтосервіс""";ЛАЗ 4202, Рута;харківський
806;Ялта - Харків;07-50;09-30;щодня сезонні;5;"ТОВ ""Інтерсоллі Плюс"", ПП Булгадарян";Вольво В10, Мерседес;харківський
1117;Зачепилівка - Харків;07-56;09-56;щодня;5;ПП Боровий ;Газель;харківський
21;Дніпропетровськ - Харків;08-00;09-55;щодня;5;"ДП ""Таксі Сервіс""";Вольво В10М;харківський
763;Полтава - Харків;08-25;10-25;щодня;5;ПП Струков;Отокар;харківський
589;Дніпропетровськ - Харків;8-45;10-20;щодня;5;"ТОВ ""Тураеродан""";Неоплан, Богдан;харківський
802; Феодосія - Харків;09-15;11-05;ч\з день сезонні;5;"ТОВ ""Інтерсоллі Плюс""";Вольво;харківський
138;Дніпропетровськ - Харків;09-20;11-20;щодня;5;"ТОВ ""Тураеродан""";Неоплан, Сетра, Богдан;харківський
299;Дніпропетровськ - Харків;10-00;12-00;щодня;5;ПП Нікуліца;Короса 734;харківський
